"ofr_divineplan","ofr_lessable","sr_tryhard","sr_generations","sr_crspeed","sr_realchange","sr_welfare","sr_deserveless","sr_complaint","sr_workway","indiv_hwSuccess","indiv_failsame","indiv_willwork","egal_ensureEO","egal_probnoequal","egal_lessproblem","aff_act","govt_aid_comb","govt_eqlopp_jobs","ideo7_sc","pid7_sc","ft_reps","ft_dems","educ4","int_polknow","age","fem"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,NA,7,NA,0.666666666666667,0.833333333333333,100,40,2,4,50,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,5,3,0.833333333333333,0,40,70,1,3,29,1
1,1,5,5,5,5,5,5,5,5,5,5,4,1,2,1,5,7,4,NA,0.166666666666667,50,85,2,3,38,0
5,1,4,4,3,5,1,1,1,4,1,2,5,1,1,1,5,4,4,0.166666666666667,0,30,100,2,4,57,0
3,4,5,3,5,5,5,4,4,5,4,5,4,5,3,5,5,6,4,0.5,1,100,50,2,4,23,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,1,4,0.5,0.5,70,60,1,2,41,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,NA,4,3,0.5,NA,50,100,1,1,19,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,3,2,0.166666666666667,0.166666666666667,30,85,3,4,26,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,1,5,0,0.833333333333333,70,50,0,2,60,1
1,4,5,2,3,3,5,5,4,5,4,1,4,1,5,NA,5,7,5,NA,0.333333333333333,60,50,2,3,59,1
2,3,4,2,5,3,4,2,3,3,4,2,5,1,2,2,2,4,3,0.5,0.166666666666667,60,85,2,3,20,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,7,5,0.833333333333333,0,60,100,1,3,53,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,6,4,NA,0,85,85,0,2,81,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,2,5,0.5,0.333333333333333,40,60,3,3,32,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA,4,4,0.5,0,40,70,3,3,33,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,5,2,0,0.166666666666667,60,70,2,2,22,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,7,5,0.5,0.833333333333333,60,50,1,2,26,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,4,3,NA,0,60,85,0,2,35,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,NA,5,5,0.666666666666667,0.166666666666667,85,85,1,4,62,0
1,1,5,5,5,1,5,5,2,5,5,1,4,1,5,1,5,5,4,0.166666666666667,1,60,85,0,3,43,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,4,4,0.5,0,40,70,2,4,44,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,5,4,0.833333333333333,NA,NA,NA,0,2,71,1
4,3,4,2,5,5,4,3,3,4,2,3,4,1,3,1,4,4,4,0.5,0.166666666666667,50,85,1,5,75,0
3,3,3,3,5,3,3,4,3,4,2,2,3,4,4,3,5,6,5,0.666666666666667,0.166666666666667,50,50,1,3,30,0
4,3,4,2,3,5,4,3,3,4,2,4,4,1,3,2,4,4,4,0.5,0.666666666666667,100,100,1,2,39,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,NA,4,3,0.333333333333333,0.333333333333333,70,70,3,4,78,0
5,2,4,2,3,NA,4,4,3,5,1,3,5,1,1,2,4,5,4,NA,0.166666666666667,40,60,1,2,29,1
5,4,5,2,5,5,5,5,5,5,2,2,5,2,4,1,5,7,4,0.166666666666667,0.5,50,60,0,3,62,0
1,1,4,1,3,3,2,2,1,4,4,4,4,1,2,2,NA,4,4,0.666666666666667,0.166666666666667,60,60,1,4,67,0
5,3,5,2,5,3,3,3,2,4,2,3,5,1,1,1,1,6,3,0.833333333333333,0.5,70,60,0,2,39,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,NA,6,1,0.5,0.666666666666667,60,40,3,3,45,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,7,5,0.5,0.333333333333333,50,50,2,3,37,1
1,3,5,5,5,1,5,5,5,5,1,2,4,4,5,5,5,5,5,0.833333333333333,1,70,60,0,3,28,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,7,4,0.5,0.166666666666667,85,100,0,2,66,1
5,4,5,1,5,1,2,4,5,4,3,3,3,1,1,1,5,7,5,1,NA,15,60,2,5,61,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,1,0.666666666666667,0.166666666666667,70,70,1,4,54,1
