"manners","polite","respect","discip","obedience","behaved","orderly","loyal","white","black","latino","race","fem","college","relig_AthNoneDK","south","inc_40plus","age","religiosity","relig_cath","relig_prot","relig_evang","rr_sc","inc","inc_missing","educ_3cat","auth4","auth8","pid3","ideo3","immig_sc","gay_sc","cjs_pun_sc","ft_trump_sc","ft_rep_sc","ft_dem_sc","ResponseId"
1,1,1,0,0,0,0,0,1,0,0,"white",1,1,0,1,1,0.152777777777778,0.75,0,0,0,0.666666666666667,0.555555555555556,0,2,0.5,0.375,-1,-1,0.0833333333333333,0.25,0.75,0.1,0.01,0.9,"R_20VhtPPnkUwp6Jy"
0,1,0,0,0,0,0,1,1,0,0,"white",1,1,0,0,1,0.375,0.25,0,1,0,0.583333333333333,0.777777777777778,0,2,0,0.25,1,1,0.0833333333333333,0,0.291666666666667,0.61,0.21,0.6,"R_3eJpTvSUsS56zPr"
1,1,0,1,1,1,0,0,0,1,0,"black",1,1,0,0,0,0.0138888888888889,0.25,0,0,0,0.5,0.166666666666667,0,2,0.75,0.625,-1,1,0.666666666666667,0,0.458333333333333,0.27,0.48,0.36,"R_YVsgWeyw69lGHXb"
0,0,1,0,1,0,0,1,1,0,0,"white",1,1,0,0,1,0.25,0.5,0,0,1,0.5,0.722222222222222,0,2,0.5,0.375,-1,-1,0.166666666666667,0,0.583333333333333,0.38,0.03,0.75,"R_1QGTPkRXJe3dOau"
0,1,1,0,0,0,0,0,0,0,1,"latino",0,0,1,0,0,0.0972222222222222,0,0,0,0,0.333333333333333,0.333333333333333,0,1,0.25,0.25,-1,-1,0.0833333333333333,0,0.583333333333333,0.02,0.04,0.52,"R_1ODgJFrKvCLWkSX"
0,0,0,0,0,0,0,0,0,1,0,"black",0,0,0,0,0,0.375,0.5,0,1,0,0.25,0.277777777777778,0,1,0,0,-1,-1,0.333333333333333,0.291666666666667,0.291666666666667,0.02,0,0.66,"R_2B8miq8WAQnZMKC"
1,1,0,1,1,0,1,1,0,0,1,"latino",0,0,0,1,0,0.166666666666667,0.75,0,1,0,0.75,0.333333333333333,0,1,0.5,0.75,1,1,0.833333333333333,0.875,0.875,0.99,1,0.02,"R_2rN7EWceTwbouWn"
1,1,1,1,0,1,1,1,1,0,0,"white",0,0,0,0,0,0.472222222222222,0,0,1,0,1,0.277777777777778,0,1,0.75,0.875,1,1,0.75,0.625,1,1,0,0,"R_1nUwd2SMDPcUa25"
0,1,0,0,0,0,0,0,1,0,0,"white",0,1,0,0,1,0.402777777777778,0.75,0,1,0,0.75,0.5,0,2,0,0.125,-1,0,0.25,0,0.708333333333333,0.13,0,0.64,"R_1LtgV5eG01Z9lsG"
1,0,1,1,1,0,0,0,1,0,0,"white",0,0,1,0,0,0.125,0.25,0,0,0,0.0833333333333333,0.166666666666667,0,0,0.75,0.5,0,0,0,0.25,0.416666666666667,0.03,0.05,0.03,"R_1K2aF8101qE8Y3n"
